,날짜,국가,시군구,읍면동,방문자수
564,20190820,홍콩,제주시,추자면,3
565,20190820,기타,제주시,추자면,342
566,20190820,중국,제주시,추자면,1986
567,20190820,태국,제주시,한경면,23
568,20190820,말레이시아,제주시,한경면,45
569,20190820,일본,제주시,한경면,5
570,20190820,홍콩,제주시,한경면,19
571,20190820,기타,제주시,한경면,74
572,20190820,기타,제주시,일도1동,168
573,20190820,홍콩,제주시,일도1동,45
574,20190820,일본,제주시,일도1동,177
575,20190820,말레이시아,제주시,일도1동,72
576,20190820,인도네시아,제주시,이도2동,144
577,20190820,홍콩,제주시,이도2동,137
578,20190820,기타,제주시,이도2동,428
579,20190820,중국,제주시,이도2동,2452
580,20190820,미국,제주시,이도1동,50
581,20190820,태국,제주시,이도1동,1
582,20190820,싱가포르,제주시,이도1동,41
583,20190820,말레이시아,제주시,이도1동,21
584,20190820,일본,제주시,이도1동,435
585,20190820,홍콩,제주시,이도1동,32
586,20190820,홍콩,제주시,화북동,2
587,20190820,기타,제주시,이도1동,160
588,20190820,미국,제주시,일도2동,43
589,20190820,싱가포르,제주시,일도2동,61
590,20190820,말레이시아,제주시,일도2동,31
591,20190820,일본,제주시,일도2동,107
592,20190820,홍콩,제주시,일도2동,4
593,20190820,기타,제주시,일도2동,52
594,20190820,중국,제주시,일도2동,1278
595,20190820,미국,제주시,일도1동,5
596,20190820,태국,제주시,일도1동,47
597,20190820,싱가포르,제주시,일도1동,13
598,20190820,중국,제주시,이도1동,1585
599,20190820,태국,제주시,화북동,1
600,20190820,미국,제주시,화북동,21
601,20190820,태국,서귀포시,대정읍,2
602,20190820,일본,서귀포시,대정읍,129
603,20190820,홍콩,서귀포시,대정읍,10
604,20190820,기타,서귀포시,대정읍,211
605,20190820,중국,서귀포시,대정읍,804
606,20190820,베트남,제주시,도두동,55
607,20190820,미국,제주시,도두동,272
608,20190820,태국,제주시,도두동,135
609,20190820,싱가포르,제주시,도두동,26
610,20190820,말레이시아,제주시,도두동,86
611,20190820,일본,제주시,도두동,709
612,20190820,인도네시아,제주시,도두동,30
613,20190820,홍콩,제주시,도두동,64
614,20190820,기타,제주시,도두동,589
615,20190820,중국,제주시,도두동,18935
616,20190820,미국,제주시,이호동,9
617,20190820,태국,제주시,이호동,150
618,20190820,말레이시아,제주시,이호동,127
619,20190820,일본,제주시,이호동,258
620,20190820,인도네시아,제주시,이호동,15
621,20190820,홍콩,제주시,이호동,33
622,20190820,미국,서귀포시,대정읍,19
623,20190820,기타,제주시,이호동,242
624,20190820,중국,서귀포시,남원읍,4131
625,20190820,홍콩,서귀포시,남원읍,12
626,20190820,일본,서귀포시,안덕면,1935
627,20190820,인도네시아,서귀포시,안덕면,2
628,20190820,홍콩,서귀포시,안덕면,165
629,20190820,기타,서귀포시,안덕면,2930
630,20190820,중국,서귀포시,안덕면,15933
631,20190820,미국,서귀포시,성산읍,272
632,20190820,태국,서귀포시,성산읍,233
633,20190820,싱가포르,서귀포시,성산읍,128
634,20190820,말레이시아,서귀포시,성산읍,171
635,20190820,일본,서귀포시,성산읍,322
636,20190820,인도네시아,서귀포시,성산읍,146
637,20190820,홍콩,서귀포시,성산읍,125
